question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	For each of the following statements, please use the rating scale to indicate <strong>how well</strong> each statement describes your experiences <strong>in the past 15 minutes</strong>.	0	2		
radio	I was aware of different emotions that arose in me	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I tried to pay attention to pleasant and unpleasant sensations	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I found some of my experiences interesting	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed many small details of my experience	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I felt aware of what was happening inside of me	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed pleasant and unpleasant emotions	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I actively explored my experience in the moment	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I clearly physically felt what was going on in my body	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I changed my body posture and paid attention to the physical process of moving	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I felt that I was experiencing the present moment fully	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed pleasant and unpleasant thoughts	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed emotions come and go	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed various sensations caused by my surroundings (e.g., heat, coolness, the wind on my face)	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed physical sensations come and go	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I had moments when I felt alert and aware	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I felt closely connected to the present moment	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed thoughts come and go	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I felt in contact with my body	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I was aware of what was going on in my mind	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	It was interesting to see the patterns of my thinking	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
radio	I noticed some pleasant and unpleasant physical sensations	1	3	Not at all, A little, Somewhat, Well, Very well	1,2,3,4,5
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		
